an airplane
a basket
a bathtub
a bench
a bicycle
a birdhouse
a bottle
a bowl
a bus 
a camera
a can
a cap
a car
a clock
a keyboard
a dishwasher
a earphone
a faucet
a file_cabinet
a guitar
a helmet
a jar
a knife
a lamp
a laptop
a loudspeaker
a microphone
a microwaves
a motorbike
a mug
a piano
a pistol
a flowerpot
a printer
a remote
a rifle
a rocket
a skateboard
a stove
a telephone
a tower
a train
a watercraft
a washer
a bag
a bin
a box
a cabinet 
a chair
a desk
a display
a door
a shelf
a table
a bed 
a pillow 
a sink 
a sofa
a toilet

